L,AG2,AG4,AG6,AG8,AG12,atm
4.35E-06,0.942785835,0.8936794,0.8379906,0.7622801,0.6822021,5.09E-08
4.36E-06,0.940460239,0.8904788,0.8318046,0.7529688,0.6701666,1.06E-06
4.37E-06,0.938129069,0.88716,0.8256344,0.7439587,0.6592728,2.01E-04
4.38E-06,0.934804443,0.8820359,0.8168876,0.7319728,0.6448965,8.01E-03
4.39E-06,0.931805833,0.877079,0.8090517,0.7213477,0.6317738,6.98E-04
4.40E-06,0.928627567,0.871792,0.8008012,0.7105062,0.6187292,1.17E-03
4.41E-06,0.925314624,0.8663747,0.792261,0.6986755,0.6050473,2.57E-03
4.42E-06,0.923126688,0.8630344,0.7866543,0.6911048,0.5962939,8.43E-03
4.43E-06,0.921311928,0.8600549,0.782024,0.6853527,0.5891478,2.81E-02
4.44E-06,0.919387944,0.8567585,0.7771349,0.6791879,0.5815597,6.01E-02
4.45E-06,0.917672955,0.8540289,0.7727941,0.6732028,0.5749504,1.19E-01
4.46E-06,0.915787094,0.8508274,0.7680395,0.6664843,0.5671409,1.09E-01
4.47E-06,0.913671238,0.8474959,0.7627283,0.6599614,0.5592876,1.25E-01
4.48E-06,0.911274871,0.8437136,0.7567426,0.6522459,0.550662,1.59E-01
4.49E-06,0.909766675,0.8410651,0.7529915,0.6469373,0.5446122,3.36E-01
4.50E-06,0.908465473,0.838884,0.7497652,0.642869,0.5398647,4.71E-01
4.51E-06,0.907243885,0.8370497,0.7467447,0.6394033,0.5359834,3.14E-01
4.52E-06,0.905333719,0.8341275,0.7420379,0.6338363,0.5294525,2.91E-01
4.53E-06,0.902202466,0.8290705,0.7343651,0.6237778,0.5177459,3.34E-01
4.54E-06,0.897093007,0.8210665,0.7219588,0.6069777,0.4990024,4.15E-01
4.55E-06,0.890129384,0.8100838,0.7052765,0.5850599,0.4749978,4.76E-01
4.56E-06,0.883326724,0.7992458,0.6892299,0.5644818,0.4527492,5.65E-01
4.57E-06,0.878894359,0.7923534,0.6789066,0.5517152,0.4391365,5.95E-01
4.58E-06,0.877689575,0.7905264,0.6761185,0.5485558,0.4358336,6.89E-01
4.59E-06,0.87905546,0.7926624,0.67928,0.5527102,0.4403332,7.87E-01
4.60E-06,0.881459699,0.7962985,0.6848688,0.5603059,0.4487038,8.14E-01
4.61E-06,0.884246435,0.800534,0.691385,0.5690897,0.4581778,8.16E-01
4.62E-06,0.887156264,0.8050481,0.698233,0.5777909,0.4672392,8.55E-01
4.63E-06,0.889709117,0.8090533,0.704278,0.5861167,0.4762258,8.85E-01
4.64E-06,0.891551768,0.8120779,0.7086629,0.5920428,0.4829081,8.52E-01
4.65E-06,0.89314621,0.8145604,0.7124718,0.5967992,0.4882032,8.75E-01
4.66E-06,0.893248617,0.8147034,0.7127169,0.5970008,0.4879248,8.72E-01
4.67E-06,0.891198612,0.8117595,0.7078211,0.5909994,0.4807348,9.18E-01
4.68E-06,0.888074193,0.8068499,0.7004026,0.5817976,0.4704983,8.18E-01
4.69E-06,0.883616232,0.7997392,0.6899078,0.5678691,0.4558352,8.55E-01
4.70E-06,0.87897414,0.7926797,0.6790915,0.553928,0.4409817,7.46E-01
4.71E-06,0.874212581,0.7854185,0.6681149,0.5402104,0.4265648,6.84E-01
4.72E-06,0.869996873,0.7791039,0.6584959,0.5282857,0.4140265,7.12E-01
4.73E-06,0.863262262,0.7689347,0.6433218,0.5095415,0.3942634,7.81E-01
4.74E-06,0.854066192,0.7552486,0.6229807,0.484476,0.3685471,7.91E-01
4.75E-06,0.844483865,0.7410743,0.6022462,0.4592331,0.3434276,7.92E-01
4.76E-06,0.830431043,0.7205791,0.5726783,0.4240985,0.3092194,7.84E-01
4.77E-06,0.818479136,0.7036184,0.5483058,0.3960081,0.2826585,7.83E-01
4.78E-06,0.804732573,0.6845639,0.5211404,0.3653668,0.2546081,7.79E-01
4.79E-06,0.796174339,0.672876,0.5046898,0.3471959,0.2384937,7.81E-01
4.80E-06,0.790451112,0.6652644,0.4938841,0.3355279,0.2282886,8.22E-01
4.81E-06,0.790604942,0.6653871,0.4941725,0.3361879,0.2288711,6.06E-01
4.82E-06,0.794882226,0.6710692,0.5022366,0.3455233,0.23741,7.83E-01
4.83E-06,0.797987337,0.6753136,0.5081454,0.3521849,0.2431285,8.08E-01
4.84E-06,0.793509198,0.6691632,0.4996385,0.3429601,0.2346597,6.08E-01
4.85E-06,0.778795808,0.6495618,0.4723575,0.3136758,0.2094684,7.41E-01
4.86E-06,0.747937861,0.6099518,0.4184047,0.2572407,0.1637126,7.94E-01
4.87E-06,0.719254501,0.5749786,0.3720898,0.2117054,0.1291353,8.39E-01
4.88E-06,0.693348285,0.5449117,0.3333146,0.1759096,0.1038114,8.62E-01
4.89E-06,0.66676468,0.5152233,0.296427,0.1439126,0.08254811,8.05E-01
4.90E-06,0.647238143,0.494365,0.2711392,0.1232662,0.06960874,6.97E-01
4.91E-06,0.628592305,0.4754366,0.2483746,0.1053948,0.05935917,8.99E-01
4.92E-06,0.609132063,0.4565102,0.2260135,0.0886564,0.05025995,9.58E-01
4.93E-06,0.597734606,0.4456447,0.2135626,0.07978728,0.04561804,9.07E-01
4.94E-06,0.589257229,0.4375788,0.2046043,0.07362776,0.0421987,9.05E-01
4.95E-06,0.581979562,0.4306697,0.1971166,0.06869653,0.03953433,8.36E-01
4.96E-06,0.573965272,0.4232485,0.1890849,0.06367381,0.03699781,6.73E-01
4.97E-06,0.571317461,0.4210845,0.1864801,0.06219811,0.03635966,9.64E-01
4.98E-06,0.575307158,0.4248011,0.1904142,0.064838,0.03787227,7.75E-01
4.99E-06,0.586912532,0.435363,0.2021716,0.07269205,0.04184497,9.71E-01
5.00E-06,0.601970098,0.4494606,0.2181347,0.08381098,0.04756721,8.77E-01
5.01E-06,0.614831381,0.4618301,0.2324171,0.09413064,0.05319114,9.52E-01
5.02E-06,0.624319644,0.4710456,0.2433442,0.1023477,0.05759734,1.52E-01
5.03E-06,0.62747524,0.4742519,0.2470528,0.105005,0.05900484,5.11E-01
5.04E-06,0.628342329,0.4753381,0.2480784,0.10568,0.05962073,9.62E-01
5.05E-06,0.628430037,0.4757529,0.2481823,0.1058572,0.05971042,9.54E-01
5.06E-06,0.628402436,0.4756863,0.2481496,0.1059066,0.05951731,8.30E-01
5.07E-06,0.628304165,0.4753002,0.2480332,0.1057783,0.05943754,9.70E-01
5.08E-06,0.627766171,0.4746167,0.2473966,0.1054381,0.0593388,6.77E-01
5.09E-06,0.626851427,0.4735801,0.2463167,0.1044784,0.05886222,8.92E-01
5.10E-06,0.625616331,0.4724229,0.2448636,0.1033438,0.05816046,6.97E-01
5.11E-06,0.624615742,0.4715418,0.2436906,0.1025363,0.05750978,8.01E-01
5.12E-06,0.625182112,0.4721619,0.2443541,0.1031353,0.05759655,9.45E-01
5.13E-06,0.627820553,0.4749061,0.2474609,0.1058113,0.05906554,8.65E-01
5.14E-06,0.632535761,0.4797009,0.2530785,0.1106883,0.06200611,2.59E-01
5.15E-06,0.639607914,0.4871783,0.2616625,0.1171636,0.06602716,2.40E-01
5.16E-06,0.646360727,0.4940061,0.270038,0.1233976,0.06997457,9.03E-01
5.17E-06,0.651143864,0.4988094,0.2760774,0.1281308,0.07276997,7.83E-01
5.18E-06,0.653476989,0.50117,0.2790557,0.1303848,0.07418361,9.51E-01
5.19E-06,0.654361828,0.5020048,0.2801908,0.1312895,0.07491096,8.67E-01
5.20E-06,0.652699073,0.5001921,0.2780603,0.1299321,0.07406712,8.73E-02
5.21E-06,0.648297398,0.4957151,0.2724726,0.1256064,0.07152185,3.67E-01
5.22E-06,0.64176369,0.4891019,0.2643172,0.1187221,0.06743886,6.68E-01
5.23E-06,0.633378923,0.4804557,0.2540919,0.1103872,0.0624642,7.62E-01
5.24E-06,0.625212728,0.4722128,0.24439,0.1030614,0.05820572,3.12E-01
5.25E-06,0.612251555,0.4593881,0.2295037,0.09208291,0.05204517,5.40E-01
5.26E-06,0.599203109,0.4469582,0.2151405,0.08127541,0.04634473,8.47E-01
5.27E-06,0.585802634,0.4345521,0.2010268,0.07131816,0.04134727,8.15E-01
5.28E-06,0.576270662,0.4259867,0.1913725,0.06493631,0.03812582,5.46E-01
5.29E-06,0.565011042,0.4157827,0.1803727,0.05807813,0.03455633,2.37E-01
5.30E-06,0.55634557,0.4076443,0.1722003,0.05300761,0.03187238,7.78E-01
5.31E-06,0.551532147,0.4032737,0.1677693,0.05036035,0.03054509,8.12E-01
5.32E-06,0.547127949,0.3997669,0.1637822,0.04797379,0.029322,7.47E-01
5.33E-06,0.543962169,0.3973386,0.1609556,0.04641662,0.02858741,7.96E-01
5.34E-06,0.542198286,0.396057,0.1593949,0.0456762,0.02832953,7.37E-01
5.35E-06,0.539618043,0.3939936,0.1571301,0.04463715,0.02783459,3.50E-03
5.36E-06,0.536695642,0.3914624,0.154591,0.04297616,0.02715773,3.18E-01
5.37E-06,0.534213594,0.3891479,0.1524561,0.04151677,0.02670372,7.64E-01
5.38E-06,0.529533706,0.385121,0.1484844,0.03925186,0.02573513,4.91E-01
5.39E-06,0.525074215,0.3816457,0.1447645,0.0372384,0.02475787,8.49E-01
5.40E-06,0.518150232,0.3761514,0.1391128,0.03419532,0.02335931,7.11E-01
5.41E-06,0.510733406,0.3701881,0.1332241,0.03093021,0.02201788,2.54E-01
5.42E-06,0.503397923,0.3641242,0.1275658,0.02809863,0.02109025,6.37E-03
5.43E-06,0.492413334,0.3555378,0.1193959,0.02404123,0.01965416,3.34E-01
5.44E-06,0.484921729,0.3498056,0.1140289,0.02145493,0.01853361,4.30E-01
5.45E-06,0.474594742,0.3422617,0.1068978,0.01828612,0.01720942,4.94E-01
5.46E-06,0.466519789,0.3366561,0.1015337,0.0160298,0.01643884,1.73E-01
5.47E-06,0.454172582,0.3276714,0.09368342,0.01303559,0.01540475,1.27E-01
5.48E-06,0.445255402,0.3211241,0.08827294,0.0108861,0.01462546,4.35E-02
5.49E-06,0.437433353,0.315518,0.08370197,0.009177142,0.01398816,5.11E-01
5.50E-06,0.428231114,0.3092457,0.07852983,0.007535154,0.01325748,7.00E-01
5.51E-06,0.42226303,0.3052889,0.07529206,0.006537217,0.01284423,7.86E-01
5.52E-06,0.41489636,0.3002803,0.07141984,0.005273184,0.01232539,9.85E-02
5.53E-06,0.410673333,0.2972682,0.06926112,0.004643707,0.01204449,3.46E-01
5.54E-06,0.407467334,0.2951049,0.06765165,0.004252735,0.01186935,3.81E-01
5.55E-06,0.405103322,0.2935237,0.06648098,0.00390778,0.01168815,5.73E-02
5.56E-06,0.404302778,0.2927634,0.06608763,0.003913451,0.01166037,1.22E-01
5.57E-06,0.403756855,0.2925404,0.06582028,0.00427134,0.01159836,3.23E-02
5.58E-06,0.405794893,0.2942115,0.06682204,0.004715956,0.0115547,7.89E-05
5.59E-06,0.409247778,0.2966477,0.06854235,0.004934169,0.01155084,2.91E-01
5.60E-06,0.413557463,0.2991859,0.07073064,0.005216432,0.0118153,3.36E-01
5.61E-06,0.417241043,0.3014948,0.07263753,0.005762475,0.01218929,3.05E-01
5.62E-06,0.421765077,0.3045319,0.07502601,0.006504952,0.01245733,6.68E-02
5.63E-06,0.42580987,0.3073264,0.07720531,0.007325878,0.01262198,8.54E-02
5.64E-06,0.431694128,0.3115381,0.08045044,0.008578072,0.01295491,3.09E-04
5.65E-06,0.43921957,0.3172409,0.08473153,0.009756436,0.01339239,3.19E-02
5.66E-06,0.444740597,0.3212973,0.08796711,0.01072252,0.01383127,2.02E-01
